email_id,label_original,label_text,template_group_id,split,url_count,ip_address_url_count,urgency_word_count,credential_word_count,action_word_count,money_related_word_count,uppercase_letter_ratio,exclamation_mark_count,feature_contract_version,sanitisation_version
nazario5_000002_42a5d0fa9de4,0,legitimate,tpl_6795eb9f61a87c64,train,0,0,0,0,1,0,0.0774818401937046,1,1.0,1.0
nazario5_000003_762f8779c452,0,legitimate,tpl_c02e1d392212f574,train,3,0,0,0,0,0,0.2311212814645309,0,1.0,1.0
nazario5_000004_636596ccfb34,0,legitimate,tpl_1e5573f86ee7bb05,train,0,0,0,1,2,1,0.12184115523465704,0,1.0,1.0
nazario5_000005_9ef6465b5cd4,0,legitimate,tpl_1687f7b858ad7bad,train,0,0,0,1,0,0,0.06198347107438017,0,1.0,1.0
nazario5_000006_cce0d1f92015,0,legitimate,tpl_e098cdf9a825672e,train,0,0,0,0,1,0,0.18346774193548387,0,1.0,1.0
nazario5_000007_602f0a619728,0,legitimate,tpl_35b26871fe33cedd,train,0,0,0,0,0,0,0.06327683615819209,0,1.0,1.0
nazario5_000008_df5ea7b67cd2,0,legitimate,tpl_56bf2e3d3d58399c,train,0,0,0,0,0,1,0.04600484261501211,0,1.0,1.0
nazario5_000009_ce42bade8bc8,0,legitimate,tpl_1c26e8092f695d77,train,0,0,0,0,0,1,0.07428571428571429,0,1.0,1.0
nazario5_000011_fd135025c657,0,legitimate,tpl_0bc60220cf9691f7,train,0,0,0,0,0,1,0.06635071090047394,0,1.0,1.0
nazario5_000012_0a1759370397,0,legitimate,tpl_7bc2a9137ceae8c7,train,0,0,0,0,0,0,0.21052631578947367,0,1.0,1.0
nazario5_000014_7292ff5cef6b,0,legitimate,tpl_e7b6d4d078f16822,train,0,0,0,0,0,0,0.24615384615384617,0,1.0,1.0
nazario5_000016_7a55b14d6325,0,legitimate,tpl_af10a69c5b95144b,train,2,0,0,0,0,0,0.1935483870967742,6,1.0,1.0
nazario5_000017_a93006b2a993,0,legitimate,tpl_64db259c140def3e,train,2,0,0,0,2,0,0.15436507936507937,11,1.0,1.0
nazario5_000018_0ae70db23512,0,legitimate,tpl_57c2e85b0e8f9ab2,train,0,0,0,0,2,0,0.0472972972972973,0,1.0,1.0
nazario5_000019_abe9fb5ccb6e,0,legitimate,tpl_b0998de51ca6c4f6,train,0,0,0,0,1,0,0.1739961759082218,0,1.0,1.0
nazario5_000020_3dd7222f8144,0,legitimate,tpl_e456b2aaf445509d,train,0,0,0,0,0,0,0.1595744680851064,0,1.0,1.0
nazario5_000021_5119db6379b0,0,legitimate,tpl_f10ec50019526afe,train,0,0,0,0,1,0,0.1673881673881674,0,1.0,1.0
nazario5_000022_60b49a7bdf99,0,legitimate,tpl_3f24900bda474a5e,train,73,0,0,2,12,8,0.14574284729403653,0,1.0,1.0
nazario5_000023_9d4b1cb9c37c,0,legitimate,tpl_9fcb398e3dac5a18,train,4,0,0,2,2,0,0.10632746249184605,0,1.0,1.0
nazario5_000025_54f51cd2851c,0,legitimate,tpl_83eca1654de67b23,train,0,0,0,0,5,0,0.15801526717557252,0,1.0,1.0
nazario5_000028_0cf69d24ea50,0,legitimate,tpl_1e0471549783f6de,train,0,0,0,0,1,0,0.052805280528052806,0,1.0,1.0
nazario5_000029_938610cee149,0,legitimate,tpl_2a39e81cc35d61c9,train,0,0,6,0,4,0,0.08488499452354874,1,1.0,1.0
nazario5_000031_71ad2cfb637d,0,legitimate,tpl_4778e97d01a9a832,train,0,0,0,1,0,0,0.07446808510638298,0,1.0,1.0
nazario5_000032_90f6e6f881ba,0,legitimate,tpl_8860af9abb09398a,train,1,0,0,1,0,0,0.09429280397022333,0,1.0,1.0
nazario5_000033_bf62a0afcf66,0,legitimate,tpl_5c1b267468162993,train,0,0,0,0,4,0,0.11529933481152993,0,1.0,1.0
